Date,Open,High,Low,Close,Adj Close,Volume
12-03-2020,15869.5,15882.79981,15045,15565.5,15565.5,222866
13-03-2020,15341,15855,14050,14991.79981,14991.79981,261620
16-03-2020,14800,14931,13492.7002,14397.2002,14397.2002,221228
17-03-2020,14500,14777,14250,14541,14541,176980
18-03-2020,14550,14738,13400,13536.79981,13536.79981,212922
19-03-2020,13000.5,13448.40039,12577,13120.29981,13120.29981,214710
20-03-2020,13198,14433.09961,13150,14145.5,14145.5,204925
23-03-2020,12750.40039,13999.79981,12750,12944.7002,12944.7002,195927
24-03-2020,13889,13889,12200,13478.29981,13478.29981,258667
25-03-2020,12800,14520,12800,14444.09961,14444.09961,198722
26-03-2020,14699.7002,15100,14051.5,14919.7002,14919.7002,205344
27-03-2020,15400,15534,14800,15108.59961,15108.59961,175244
30-03-2020,14990,15890,14687.7002,15658.7002,15658.7002,201470
31-03-2020,15849,16424.90039,15701.2002,16300.59961,16300.59961,183919
