"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"NESTLEIND","05-Aug-2019","26-Sep-2019","11666.55","11676.75","11525.65","11525.65","11525.65","11822.85","9","52.4","700","200","      11712.80"
"NESTLEIND","05-Aug-2019","31-Oct-2019","0","0","0","11702.1","0","11897.3","0","0","0","0","      11712.80"
"NESTLEIND","06-Aug-2019","29-Aug-2019","11584.3","11861.6","11560.1","11682.8","11650","11682.8","1948","11410.36","370600","-10100","      11837.55"
"NESTLEIND","06-Aug-2019","26-Sep-2019","11720","11849","11720","11841.45","11841.45","11945.9","12","70.85","1000","300","      11837.55"
"NESTLEIND","06-Aug-2019","31-Oct-2019","11800","11800","11800","11800","11800","12020.95","1","5.9","50","50","      11837.55"
"NESTLEIND","07-Aug-2019","29-Aug-2019","11636.95","11756.2","11594.1","11619.1","11629.8","11619.1","753","4391.16","364100","-6650","      11777.45"
"NESTLEIND","07-Aug-2019","26-Sep-2019","0","0","0","11841.45","11841.45","11882.2","0","0","1000","0","      11777.45"
"NESTLEIND","07-Aug-2019","31-Oct-2019","0","0","0","11800","11800","11956.15","0","0","50","0","      11777.45"
"NESTLEIND","08-Aug-2019","29-Aug-2019","11662","11756.75","11610","11696.55","11691","11696.55","644","3763.48","364050","-200","      11840.25"
"NESTLEIND","08-Aug-2019","26-Sep-2019","11751.85","11751.85","11751.85","11751.85","11751.85","11940.6","1","5.88","1050","50","      11840.25"
"NESTLEIND","08-Aug-2019","31-Oct-2019","0","0","0","11800","11800","12012.6","0","0","50","0","      11840.25"
"NESTLEIND","09-Aug-2019","29-Aug-2019","11789.45","12284.45","11744.05","12013.75","11980.1","12013.75","2779","16718.5","366350","2150","      11993.30"
"NESTLEIND","09-Aug-2019","26-Sep-2019","11828.8","12293.9","11828.75","12084.3","12034.2","12084.3","23","139.15","1550","500","      11993.30"
"NESTLEIND","09-Aug-2019","31-Oct-2019","0","0","0","11800","11800","12164.9","0","0","50","0","      11993.30"
"NESTLEIND","13-Aug-2019","29-Aug-2019","11971.8","12199.85","11871.95","11924.15","11900","11924.15","2335","14073.65","374900","8400","      11893.45"
"NESTLEIND","13-Aug-2019","26-Sep-2019","11900","12250","11900","11981","11955.7","11981","57","344.54","2000","450","      11893.45"
"NESTLEIND","13-Aug-2019","31-Oct-2019","0","0","0","11800","11800","12054.85","0","0","50","0","      11893.45"
"NESTLEIND","14-Aug-2019","29-Aug-2019","11938.6","12150","11932","12045.15","12033","12045.15","1110","6691.68","374800","-100","      12036.55"
"NESTLEIND","14-Aug-2019","26-Sep-2019","12015.6","12197.95","12015.6","12172","12172","12172","30","181.59","2500","500","      12036.55"
"NESTLEIND","14-Aug-2019","31-Oct-2019","0","0","0","11800","11800","12197.95","0","0","50","0","      12036.55"
"NESTLEIND","16-Aug-2019","29-Aug-2019","12005.15","12070.7","11940.65","12011.5","12018","12011.5","851","5111.53","380350","5550","      12004.40"
"NESTLEIND","16-Aug-2019","26-Sep-2019","12033.25","12061","12033.25","12047","12047","12088.45","7","42.14","2700","200","      12004.40"
"NESTLEIND","16-Aug-2019","31-Oct-2019","0","0","0","11800","11800","12160.55","0","0","50","0","      12004.40"
"NESTLEIND","19-Aug-2019","29-Aug-2019","12114","12255","12060","12087.2","12076.1","12087.2","1303","7921.85","381200","850","      12066.60"
"NESTLEIND","19-Aug-2019","26-Sep-2019","12174.15","12300","12141.35","12142","12142","12142","25","152.61","3300","600","      12066.60"
"NESTLEIND","19-Aug-2019","31-Oct-2019","0","0","0","11800","11800","12216.8","0","0","50","0","      12066.60"
"NESTLEIND","20-Aug-2019","29-Aug-2019","12142.9","12142.95","11946.8","11987.65","11999.9","11987.65","1127","6776.21","378250","-2950","      11969.80"
"NESTLEIND","20-Aug-2019","26-Sep-2019","12031.85","12110.4","12005","12024.1","12045.75","12024.1","117","706.18","7100","3800","      11969.80"
"NESTLEIND","20-Aug-2019","31-Oct-2019","0","0","0","11800","11800","12116.55","0","0","50","0","      11969.80"
"NESTLEIND","21-Aug-2019","29-Aug-2019","12049.9","12650","12049.9","12571.15","12599.95","12571.15","6983","43348.61","382050","3800","      12594.10"
"NESTLEIND","21-Aug-2019","26-Sep-2019","12120.85","12699.85","12120.85","12622","12627.7","12622","1539","9548.2","58650","51550","      12594.10"
"NESTLEIND","21-Aug-2019","31-Oct-2019","12315","12600","12305","12600","12600","12747.15","22","136.59","1150","1100","      12594.10"
"NESTLEIND","22-Aug-2019","29-Aug-2019","12618.9","12793.5","12428","12469.75","12496.85","12469.75","2820","17706.88","375050","-7000","      12470.00"
"NESTLEIND","22-Aug-2019","26-Sep-2019","12603.9","12820.05","12476","12513.05","12540","12513.05","501","3155.68","62250","3600","      12470.00"
"NESTLEIND","22-Aug-2019","31-Oct-2019","12685.05","12746.2","12657.1","12657.15","12657.15","12619.3","15","94.7","1750","600","      12470.00"
"NESTLEIND","23-Aug-2019","29-Aug-2019","12501.05","12546","12260","12448.05","12462.1","12448.05","2183","13569.77","350700","-24350","      12438.65"
"NESTLEIND","23-Aug-2019","26-Sep-2019","12508.7","12592.15","12325.55","12510.1","12503.15","12510.1","928","5801.17","96600","34350","      12438.65"
"NESTLEIND","23-Aug-2019","31-Oct-2019","12276.15","12276.15","12276.15","12276.15","12276.15","12586.55","1","6.14","1700","-50","      12438.65"
"NESTLEIND","26-Aug-2019","29-Aug-2019","12573.7","12573.7","12240.25","12408.55","12419.65","12408.55","3029","18672.08","289550","-61150","      12391.35"
"NESTLEIND","26-Aug-2019","26-Sep-2019","12559.7","12626","12290","12454.25","12465","12454.25","2342","14487.87","166200","69600","      12391.35"
"NESTLEIND","26-Aug-2019","31-Oct-2019","12355","12489","12351","12489","12489","12531.5","10","61.91","1550","-150","      12391.35"
"NESTLEIND","27-Aug-2019","29-Aug-2019","12334.7","12556.75","12334.7","12483.75","12514","12483.75","3100","19291.16","180100","-109450","-"
"NESTLEIND","27-Aug-2019","26-Sep-2019","12454.25","12601.25","12304.85","12535.2","12559.45","12535.2","2732","17068.34","269100","102900","-"
"NESTLEIND","27-Aug-2019","31-Oct-2019","12394.55","12568","12394.5","12568","12568","12611.05","6","37.43","1550","0","-"
"NESTLEIND","28-Aug-2019","29-Aug-2019","12451","12809.7","12380.1","12527.65","12579.6","12527.65","3735","23466.22","55750","-124350","      12517.40"
"NESTLEIND","28-Aug-2019","26-Sep-2019","12404","12860","12403.2","12575.15","12618.9","12575.15","3659","23077.5","398450","129350","      12517.40"
"NESTLEIND","28-Aug-2019","31-Oct-2019","12479.75","12800","12479.75","12651.95","12651.95","12654.2","15","94.62","2200","650","      12517.40"
"NESTLEIND","29-Aug-2019","29-Aug-2019","12675.5","12888.05","12619.5","12718.95","12718.95","12716.75","2370","15083.74","13700","-41650","      12716.85"
"NESTLEIND","29-Aug-2019","26-Sep-2019","12733","12923.95","12666.15","12755.3","12780","12755.3","3031","19370.52","445150","46750","      12716.85"
"NESTLEIND","29-Aug-2019","31-Oct-2019","12753.2","12899.95","12753.2","12772.65","12772.65","12772.65","16","102.53","2550","350","      12716.85"
"NESTLEIND","30-Aug-2019","26-Sep-2019","12830.45","12943.85","12611.65","12893.05","12900","12893.05","2020","12893.66","438500","-6650","      12875.20"
"NESTLEIND","30-Aug-2019","31-Oct-2019","12772.65","13014.75","12663.95","12973.1","12950","12973.1","30","193.67","2800","250","      12875.20"
"NESTLEIND","30-Aug-2019","28-Nov-2019","0","0","0","12914.3","0","13072.15","0","0","0","0","      12875.20"
"NESTLEIND","03-Sep-2019","26-Sep-2019","12840","12933.45","12664.8","12705.85","12679.9","12705.85","1452","9295.73","443200","4700","      12690.95"
"NESTLEIND","03-Sep-2019","31-Oct-2019","12820.1","12950","12727.15","12733.55","12731.95","12733.55","25","160.15","3100","300","      12690.95"
"NESTLEIND","03-Sep-2019","28-Nov-2019","0","0","0","12914.3","0","12875.9","0","0","0","0","      12690.95"
"NESTLEIND","04-Sep-2019","26-Sep-2019","12654.2","12787.9","12458.45","12540.95","12562.4","12540.95","1783","11210.73","446800","3600","      12480.75"
"NESTLEIND","04-Sep-2019","31-Oct-2019","12600.05","12600.05","12540","12540","12540","12600.3","7","44.03","3300","200","      12480.75"
"NESTLEIND","04-Sep-2019","28-Nov-2019","0","0","0","12914.3","0","12659.9","0","0","0","0","      12480.75"
"NESTLEIND","05-Sep-2019","26-Sep-2019","12575","12727.75","12551.4","12648.35","12630","12648.35","884","5589.89","443250","-3550","      12612.15"
"NESTLEIND","05-Sep-2019","31-Oct-2019","12600.3","12713.2","12600.25","12695.4","12673.3","12695.4","16","101.13","3450","150","      12612.15"
"NESTLEIND","05-Sep-2019","28-Nov-2019","0","0","0","12914.3","0","12791.6","0","0","0","0","      12612.15"
"NESTLEIND","06-Sep-2019","26-Sep-2019","12699.4","12768.25","12536","12667.25","12653","12667.25","1087","6871.58","441850","-1400","      12613.95"
"NESTLEIND","06-Sep-2019","31-Oct-2019","12618.45","12720","12617.25","12701.5","12700","12701.5","11","69.67","3700","250","      12613.95"
"NESTLEIND","06-Sep-2019","28-Nov-2019","0","0","0","12914.3","0","12786.7","0","0","0","0","      12613.95"
"NESTLEIND","09-Sep-2019","26-Sep-2019","12633.15","12870.7","12606.1","12840.25","12808.05","12840.25","1420","9089.63","435950","-5900","      12836.35"
"NESTLEIND","09-Sep-2019","31-Oct-2019","12642.8","12890","12642.8","12879.05","12887.05","12879.05","19","121.84","4300","600","      12836.35"
"NESTLEIND","09-Sep-2019","28-Nov-2019","0","0","0","12914.3","0","13010.25","0","0","0","0","      12836.35"
"NESTLEIND","11-Sep-2019","26-Sep-2019","12828.45","12869.95","12685","12769.8","12743.95","12769.8","1642","10469.7","430800","-5150","      12758.95"
"NESTLEIND","11-Sep-2019","31-Oct-2019","12780","12808","12750","12800","12800","12866.5","48","306.92","5750","1450","      12758.95"
"NESTLEIND","11-Sep-2019","28-Nov-2019","0","0","0","12914.3","0","12927.15","0","0","0","0","      12758.95"
"NESTLEIND","12-Sep-2019","26-Sep-2019","12759.55","12839.4","12561.65","12603.3","12614.95","12603.3","1623","10283.95","442550","11750","      12556.90"
"NESTLEIND","12-Sep-2019","31-Oct-2019","12801","12801","12610.1","12647.6","12660.9","12647.6","39","247.68","6700","950","      12556.90"
"NESTLEIND","12-Sep-2019","28-Nov-2019","0","0","0","12914.3","0","12720.65","0","0","0","0","      12556.90"
"NESTLEIND","13-Sep-2019","26-Sep-2019","12570.85","12728.6","12550.2","12706.95","12710","12706.95","1452","9186.35","448600","6050","      12689.30"
"NESTLEIND","13-Sep-2019","31-Oct-2019","12620.1","12756.75","12620.1","12752.8","12756.75","12752.8","24","152.43","7100","400","      12689.30"
"NESTLEIND","13-Sep-2019","28-Nov-2019","0","0","0","12914.3","0","12851.8","0","0","0","0","      12689.30"
"NESTLEIND","16-Sep-2019","26-Sep-2019","12606.05","12852.95","12606","12836.85","12838","12836.85","1135","7249.33","443800","-4800","      12840.95"
"NESTLEIND","16-Sep-2019","31-Oct-2019","12747.5","12900.05","12679.35","12885.1","12850","12885.1","87","557.69","9550","2450","      12840.95"
"NESTLEIND","16-Sep-2019","28-Nov-2019","12930.6","12930.6","12930.6","12930.6","12930.6","12999.4","1","6.47","50","50","      12840.95"
"NESTLEIND","17-Sep-2019","26-Sep-2019","12800","12817.95","12722.6","12794.3","12770.2","12794.3","1175","7501.75","442150","-1650","      12764.25"
"NESTLEIND","17-Sep-2019","31-Oct-2019","12801.1","12860","12771.85","12844.05","12832.2","12844.05","28","179.27","9850","300","      12764.25"
"NESTLEIND","17-Sep-2019","28-Nov-2019","0","0","0","12930.6","12930.6","12919.3","0","0","50","0","      12764.25"
"NESTLEIND","18-Sep-2019","26-Sep-2019","12800","12922","12670.05","12890.85","12919.95","12890.85","1359","8700.07","438550","-3600","      12869.00"
"NESTLEIND","18-Sep-2019","31-Oct-2019","12818.3","12960","12743.75","12936.45","12957.15","12936.45","206","1323.51","17250","7400","      12869.00"
"NESTLEIND","18-Sep-2019","28-Nov-2019","0","0","0","12930.6","12930.6","13022.95","0","0","50","0","      12869.00"
"NESTLEIND","19-Sep-2019","26-Sep-2019","12820","12906","12661","12723.4","12711.95","12723.4","1514","9651.78","432100","-6450","      12694.90"
"NESTLEIND","19-Sep-2019","31-Oct-2019","12900","12948","12703","12763.45","12751.65","12763.45","355","2268.83","26600","9350","      12694.90"
"NESTLEIND","19-Sep-2019","28-Nov-2019","0","0","0","12930.6","12930.6","12844.95","0","0","50","0","      12694.90"
"NESTLEIND","20-Sep-2019","26-Sep-2019","12715.05","13638.65","12565","13533.7","13500","13533.7","4627","30606.91","433400","1300","      13499.40"
"NESTLEIND","20-Sep-2019","31-Oct-2019","12775","13679.9","12619.95","13580.05","13549","13580.05","863","5735.3","36850","10250","      13499.40"
"NESTLEIND","20-Sep-2019","28-Nov-2019","0","0","0","12930.6","12930.6","13656.6","0","0","50","0","      13499.40"
"NESTLEIND","23-Sep-2019","26-Sep-2019","13704.35","14136.85","13620.25","13742.45","13648.75","13742.45","1932","13436.68","420550","-12850","      13713.20"
"NESTLEIND","23-Sep-2019","31-Oct-2019","13790","14183.8","13732.65","13797.25","13733.8","13797.25","1130","7881.24","56150","19300","      13713.20"
"NESTLEIND","23-Sep-2019","28-Nov-2019","0","0","0","12930.6","12930.6","13862.6","0","0","50","0","      13713.20"
"NESTLEIND","24-Sep-2019","26-Sep-2019","13716.55","13744.65","13364.85","13470.6","13418","13470.6","3108","20958.2","330850","-89700","      13430.70"
"NESTLEIND","24-Sep-2019","31-Oct-2019","13759.25","13797.25","13430.25","13532.1","13485","13532.1","2737","18532.56","151100","94950","      13430.70"
"NESTLEIND","24-Sep-2019","28-Nov-2019","0","0","0","12930.6","12930.6","13577.9","0","0","50","0","      13430.70"
"NESTLEIND","25-Sep-2019","26-Sep-2019","13343.65","13627.9","13343.65","13517.4","13593.95","13517.4","3588","24071.58","211750","-119100","      13458.50"
"NESTLEIND","25-Sep-2019","31-Oct-2019","13405.4","13650","13390.95","13575.55","13650","13575.55","3533","23819.61","281100","130000","      13458.50"
"NESTLEIND","25-Sep-2019","28-Nov-2019","0","0","0","12930.6","12930.6","13604.3","0","0","50","0","      13458.50"
"NESTLEIND","26-Sep-2019","26-Sep-2019","13609.85","13975.15","13539.95","13892.8","13933.3","13934.65","4875","33366.18","100150","-111600","      13934.60"
"NESTLEIND","26-Sep-2019","31-Oct-2019","13610.05","14131","13601.15","13934.95","13755","13934.95","14461","100126.81","536350","255250","      13934.60"
"NESTLEIND","26-Sep-2019","28-Nov-2019","13700","14100.65","13700","13956.35","13817.5","13956.35","7","48.72","300","250","      13934.60"
"NESTLEIND","27-Sep-2019","31-Oct-2019","13792","13940","13633.05","13831.1","13781","13831.1","3608","24838.43","544100","7750","      13740.90"
"NESTLEIND","27-Sep-2019","28-Nov-2019","0","0","0","13956.35","13817.5","13885.5","0","0","300","0","      13740.90"
"NESTLEIND","27-Sep-2019","26-Dec-2019","0","0","0","14149.9","0","13951.25","0","0","0","0","      13740.90"
